Current Position Requirements,Current Position,Alternative 1,Alternative 2
"University degree in Accounting or Finance; Knowledge of English language is a plus; Computer literacy and knowledge of automated financial and accounting reporting systems; Knowledge of ArmSoft; Experience in Finance Planning Accounting; Experience in strategic planning and execution; Knowledge of finance, accounting, budgeting, and cost control principles including ACCA Standards; Knowledge of Armenian financial regulations in banking sphere; Ability to analyze financial data and prepare financial reports, statements, and projections; Professional written and verbal communication and interpersonal skills; At least 5 years of experience in similar function.",Chief Accountant,Accountant,Project Manager
"Higher education; Relevant work experience;  Knowledge of English and Armenian languages; knowledge of Russian language is desirable Computer literacy; knowledge of office applications (e.g. MS Outlook, MS Excel and MS Word) and internet browsers; Ability to prioritize and manage tasks; Attention to details; Responsible and well-organized personality; High sense of responsibility.",Office Manager,Administrative Assistant,Sales Manager
"At least 2 years of work experience in the field of Web development is preferable; Knowledge of PHP, MySQL, HTML, CSS, AJAX, JavaScript, Smarty and jQuery; Knowledge of OOP techniques; Good knowledge of Armenian language and basic knowledge of English.",Web Developer,PHP Developer,Java Developer
"Education in Accounting/Finance; Work experience as an Accountant preferably in a construction company; Excellent knowledge of RA tax legislation; Excellent knowledge of Accounting Standards of RA and other accounting legal acts and the Labor Code of RA; Excellent knowledge of Armenian and Russian languages, English is preferable; Computer skills (Excel, Word, accounting programs); Ability to work within deadlines; Excellent organizational skills including strong attention to details.",Accountant,Chief Accountant,Lawyer
"University degree in Jurisprudence. Experience in working with international organizations, banks and MFOs.  Knowledge of banking, court, labor, tax and other relevant laws.  Excellent knowledge of Armenian and Russian. English language skills will be a plus.  Knowledge of MS office.",Lawyer,Accountant,Administrative Assistant
"University degree in a technical field; More than 3 years of experience in software engineering; Experience in server side programming languages: Python, Java, C++ and PHP; Experience in server side programming technologies and platforms: Linux, Nginx/ uWSGI, Apache and various web protocols; Experience in client side programming languages and technologies: JavaScript, HTML, CSS and Ajax; Experience in database design and administration: PostgreSQL, MySQL and Oracle; Experience in OOP/ OOD paradigms; Experience in version control systems; Willingness and ability to learn a new programming language, database system or technology; Experience in supervising a programming team of at least 3 people; Familiarity with JIRA (Atlassian) or similar project management tools would be an advantage; Experience in real-world software development cycles, such as design/ prototyping/ implementation/ support.",Web Developer,Software Developer,Java Developer
"Higher education and relevant work experience; Strong communication and negotiation skills; Strong time management and organizational skills; Integrity and commitment; High sense of responsibility; Active and dynamic personality; Excellent knowledge of Armenian, Russian and English languages; Excellent knowledge of MS Office; Driving skills and clear driving license.",Sales Manager,Administrative Assistant,Medical Representative
"Bachelor's degree in a technical field is preferred or an equivalent experience; At least 4 years of strong professional experience in working in a Project Manager/ Scrum Master role; At least 3 years of experience with information technology; Knowledge and/ or working experience with C/ C++, Java programming language(s); PMP or Scrum Master Certification is a plus; Strong professional experience with the Agile methodology and successful Agile techniques such as User Stories, TDD, Continuous Integration, Agile Games; Strong professional experience in project management and the delivery process/ methodology; Strong knowledge of project management tools (such as JIRA, Confluence, MS Project, Excel, SharePoint); Knowledge of other Agile approaches, such as XP, Kanban, Crystal, FDD, is a plus; High competency in product delivery life cycles and methods to optimize the life cycle for project needs via use of best practices; Strong technical aptitude and hands-on experience in working with technical teams; Mastery of tracking and guiding multiple projects working with a variety of cross-functional resources; Capability of working independently and under tight deadlines; Excellent problem-solving and impediments removing skills; Fluent oral and written skills in the English language; Good/ fluent oral and written skills in the French language is a plus; Ability to travel to Europe and/ or USA.",Project Manager,Java Developer,Software Developer
nan,English Language Courses,Project Manager,Administrative Assistant
"Deep knowledge and skills in the UNIX/ LINUX;  Practical experience in JAVA-based Web-applications, J2EE, JSP/ JSF, Eclipse/ JDeveloper;  Knowledge of BEA WebLogic/ JBoss Application Server;  Knowledge of Oracle Database, PL/ SQL;  Experience in UML, RUP, RAD or EXP;  Knowledge in SAO, EAI and Business Rules Management Systems is a plus; Desire to work in a challenging environment and to learn new technology skills;  Good written and spoken English language;  Strong communication skills.",Java Developer,Software Developer,Project Manager
